,created_at,retweet_count,favorite_count,rating_numerator,rating_denominator,dog_breed,display_text_range,entities_size_large_w,entities_size_large_h
132,2017-05-03 19:26:06+00:00,3020,13590,13,10,labrador_retriever,138,1200,1600
133,2017-05-03 03:17:27+00:00,1348,16373,13,10,golden_retriever,137,750,1334
134,2017-05-02 00:04:57+00:00,25829,78338,12,10,malamute,125,480,480
135,2017-05-01 15:58:40+00:00,11775,29722,13,10,unknown,140,320,180
136,2017-05-01 00:40:27+00:00,2980,13789,13,10,golden_retriever,139,1600,1133
137,2017-04-30 00:02:42+00:00,4191,18979,13,10,pembroke,114,899,1600
138,2017-04-28 23:57:28+00:00,2489,13849,12,10,golden_retriever,138,1201,1600
139,2017-04-28 16:08:49+00:00,2231,14090,12,10,french_bulldog,135,1201,1600
140,2017-04-28 00:00:54+00:00,9184,30051,13,10,labrador_retriever,138,1201,1600
141,2017-04-27 00:38:11+00:00,1416,5174,13,10,malamute,138,444,399
142,2017-04-26 16:00:39+00:00,3912,17820,13,10,samoyed,135,1636,2048
143,2017-04-26 00:33:27+00:00,3443,16659,12,10,golden_retriever,101,2048,2048
144,2017-04-24 16:22:16+00:00,2503,14416,12,10,boston_bull,137,1536,2048
145,2017-04-24 15:13:52+00:00,1624,10526,14,10,old_english_sheepdog,113,1536,2048
146,2017-04-23 23:01:59+00:00,5481,24627,14,10,chihuahua,122,600,424
147,2017-04-22 18:31:02+00:00,15730,40389,13,10,flat-coated_retriever,135,2048,1536
148,2017-04-21 16:33:22+00:00,7192,26446,12,10,blenheim_spaniel,139,1536,2048
149,2017-04-19 16:25:34+00:00,5265,20163,12,10,pembroke,114,1151,2033
150,2017-04-18 23:50:52+00:00,5927,25912,13,10,chihuahua,101,1536,2048
151,2017-04-18 16:05:17+00:00,4075,16740,13,10,pembroke,116,1536,2048
152,2017-04-17 23:52:16+00:00,6480,28388,14,10,black-and-tan_coonhound,140,750,665
153,2017-04-17 16:34:26+00:00,2751,14393,11,10,english_springer,141,2048,1462
154,2017-04-17 00:03:50+00:00,5041,25384,12,10,miniature_pinscher,119,1536,2048
155,2017-04-16 16:00:07+00:00,8722,30801,13,10,german_shepherd,109,1537,2048
156,2017-04-15 17:32:18+00:00,3120,13768,13,10,unknown,126,1536,2048
157,2017-04-14 15:51:39+00:00,1565,8016,12,10,great_dane,140,600,400
158,2017-04-13 23:59:28+00:00,1878,13249,12,10,golden_retriever,114,2048,1364
159,2017-04-13 16:05:56+00:00,3064,14502,13,10,bloodhound,125,1537,2048
160,2017-04-13 00:03:59+00:00,8716,29538,13,10,unknown,120,2047,1429
161,2017-04-12 18:25:07+00:00,5978,17844,14,10,unknown,138,1280,720
162,2017-04-12 16:00:27+00:00,1399,10265,12,10,bernese_mountain_dog,136,1536,2048
163,2017-04-11 00:24:08+00:00,3072,14555,11,10,cardigan,141,1536,2048
164,2017-04-10 16:00:07+00:00,6196,21687,14,10,unknown,141,1334,1000
165,2017-04-10 00:06:42+00:00,5075,18546,13,10,standard_poodle,138,1536,2048
166,2017-04-08 16:54:09+00:00,7974,27451,11,10,pug,138,1536,2048
167,2017-04-07 16:10:12+00:00,2291,11729,13,10,yorkshire_terrier,141,640,800
168,2017-04-07 00:38:06+00:00,3339,14647,11,10,kelpie,110,1536,2048
169,2017-04-06 16:18:05+00:00,4301,18275,12,10,shetland_sheepdog,94,1536,2048
170,2017-04-06 00:13:11+00:00,6708,27198,12,10,chihuahua,136,1535,1905
171,2017-04-05 00:04:08+00:00,2787,14282,12,10,schipperke,108,1536,2048
172,2017-04-04 19:03:06+00:00,1659,10248,11,10,unknown,137,1549,2048
173,2017-04-04 00:12:06+00:00,7491,37887,13,10,unknown,108,1536,2048
174,2017-04-03 00:16:10+00:00,3867,22595,12,10,flat-coated_retriever,120,1536,2048
175,2017-04-02 00:03:26+00:00,4080,22209,12,10,malamute,140,1152,2048
176,2017-04-01 16:35:01+00:00,2667,14624,6,10,bedlington_terrier,139,1000,667
177,2017-04-01 00:04:17+00:00,4498,21202,10,10,unknown,141,2048,1518
178,2017-03-31 16:07:33+00:00,1172,4896,12,10,bernese_mountain_dog,139,600,400
179,2017-03-31 00:27:14+00:00,3036,16900,12,10,cardigan,106,1536,2048
180,2017-03-30 00:56:03+00:00,3850,18457,12,10,airedale,101,2048,1030
181,2017-03-29 18:43:12+00:00,5156,17845,11,10,staffordshire_bullterrier,140,1886,2048
182,2017-03-29 16:00:12+00:00,2833,19303,11,10,american_staffordshire_terrier,129,2048,2048
183,2017-03-29 00:01:05+00:00,3497,18165,13,10,shetland_sheepdog,134,1536,2048
184,2017-03-28 00:07:32+00:00,10215,40069,13,10,golden_retriever,132,1536,2048
185,2017-03-27 00:15:53+00:00,8022,28407,13,10,giant_schnauzer,109,1024,1365
186,2017-03-26 16:55:29+00:00,2545,14427,12,10,golden_retriever,98,2048,2016
187,2017-03-26 01:38:00+00:00,7747,26334,13,10,samoyed,111,1536,2048
188,2017-03-25 16:45:08+00:00,4316,22785,12,10,chow,122,1536,2048
189,2017-03-24 22:08:59+00:00,1591,6898,13,10,dandie_dinmont,141,1024,768
190,2017-03-24 16:10:40+00:00,4776,21077,12,10,irish_water_spaniel,76,1536,2048
191,2017-03-23 18:29:57+00:00,2288,12375,13,10,shetland_sheepdog,116,750,449
192,2017-03-23 18:07:10+00:00,2808,13600,12,10,labrador_retriever,128,1152,2048
193,2017-03-22 16:04:20+00:00,2776,14861,11,10,unknown,130,1536,2048
194,2017-03-21 16:26:50+00:00,1965,12368,12,10,labrador_retriever,132,1536,2048
195,2017-03-20 16:08:44+00:00,4106,19435,12,10,labrador_retriever,138,1536,2048
196,2017-03-19 23:25:35+00:00,2450,15325,11,10,labrador_retriever,104,1149,1923
197,2017-03-18 22:59:54+00:00,5305,19458,13,10,pembroke,119,1535,2048
198,2017-03-17 21:13:10+00:00,3257,13852,13,10,labrador_retriever,91,1711,2048
199,2017-03-17 15:51:22+00:00,1159,6137,12,10,labrador_retriever,144,750,742
200,2017-03-17 00:38:32+00:00,3112,16423,13,10,pembroke,107,1536,2048
201,2017-03-16 00:00:07+00:00,5171,22156,12,10,french_bulldog,141,2048,1536
202,2017-03-15 20:48:07+00:00,2706,12702,12,10,chow,113,576,1024
203,2017-03-14 16:01:03+00:00,7037,23374,12,10,chihuahua,140,1536,2048
204,2017-03-14 00:04:30+00:00,3249,11403,14,10,labrador_retriever,120,1024,1365
205,2017-03-13 15:47:01+00:00,4171,14360,13,10,afghan_hound,128,718,404
206,2017-03-13 00:02:39+00:00,4812,20687,12,10,brittany_spaniel,110,1152,2048
207,2017-03-11 22:51:24+00:00,876,11168,10,10,unknown,90,749,829
208,2017-03-11 18:35:42+00:00,1594,8202,12,10,golden_retriever,141,1024,1024
209,2017-03-11 01:15:58+00:00,4100,14918,13,10,unknown,114,1150,2048
210,2017-03-10 18:27:58+00:00,5125,17449,12,10,chesapeake_bay_retriever,134,1536,2048
211,2017-03-10 00:04:21+00:00,2031,12191,13,10,staffordshire_bullterrier,101,1634,2048
212,2017-03-08 18:52:12+00:00,6964,24951,12,10,norwich_terrier,132,1153,2048
213,2017-03-07 22:22:32+00:00,5841,24636,13,10,leonberg,52,1152,2048
214,2017-03-07 01:17:48+00:00,1824,10141,13,10,border_terrier,113,1301,1914
215,2017-03-06 01:26:54+00:00,1212,9943,13,10,kelpie,140,1536,2048
216,2017-03-05 19:48:43+00:00,4290,20489,13,10,great_pyrenees,115,2048,1536
217,2017-03-04 17:49:08+00:00,2805,16062,13,10,chow,116,1536,2048
218,2017-03-04 00:21:08+00:00,7053,31021,12,10,golden_retriever,107,1472,2048
219,2017-03-03 01:58:22+00:00,398,3501,13,10,unknown,133,2048,1991
220,2017-03-03 01:14:41+00:00,2037,11661,12,10,norwegian_elkhound,128,1536,2048
221,2017-03-02 01:20:01+00:00,2147,14655,13,10,siberian_husky,81,1640,2048
222,2017-03-01 17:22:13+00:00,2080,11634,12,10,toy_poodle,128,1536,2048
223,2017-03-01 01:42:39+00:00,4190,17657,12,10,schipperke,130,2048,2048
224,2017-02-28 20:41:37+00:00,1989,11528,11,10,unknown,131,2048,1362
225,2017-02-28 01:00:19+00:00,2706,13500,12,10,unknown,132,1349,2048
226,2017-02-27 17:01:56+00:00,3919,19383,13,10,borzoi,122,1537,2048
227,2017-02-26 23:52:43+00:00,3837,17430,13,10,samoyed,123,1990,1363
228,2017-02-25 19:37:50+00:00,3249,16207,11,10,staffordshire_bullterrier,114,1536,2048
229,2017-02-25 01:18:40+00:00,2695,14990,12,10,rottweiler,139,1830,2048
230,2017-02-24 23:04:14+00:00,1523,7040,12,10,chesapeake_bay_retriever,140,1536,2048
231,2017-02-24 17:01:22+00:00,5218,23920,12,10,border_collie,129,1536,2048
232,2017-02-24 15:40:31+00:00,2713,20438,0,10,american_staffordshire_terrier,90,750,873
233,2017-02-24 01:03:08+00:00,1466,9839,12,10,soft-coated_wheaten_terrier,128,1536,2048
234,2017-02-23 15:25:23+00:00,5025,19639,13,10,border_terrier,138,1536,2048
235,2017-02-23 01:22:14+00:00,2276,12483,13,10,golden_retriever,99,1536,2048
236,2017-02-22 17:41:18+00:00,1519,8802,12,10,rhodesian_ridgeback,142,1148,2048
237,2017-02-22 01:14:30+00:00,4262,18766,12,10,golden_retriever,103,1536,2048
238,2017-02-21 22:26:07+00:00,3303,14415,11,10,unknown,136,2048,1364
239,2017-02-21 17:04:24+00:00,2002,11901,12,10,labrador_retriever,96,1536,2048
240,2017-02-21 02:17:06+00:00,2169,12281,12,10,kuvasz,103,1536,2048
241,2017-02-20 23:50:09+00:00,3436,16661,13,10,chihuahua,140,748,740
