dog_group,dog_breed
herding_dog,Louisiana_Catahoula_Leopard_Dog
companion_dog,Lowchen
northern_breed,Lundehund
guardian_dog,Majorca_Mastiff
companion_dog,Maltese
terrier,Manchester_Terrier
guardian_dog,Maremma_Sheepdog
guardian_dog,Mastiff
companion_dog,Mi-Ki
herding_dog,Miniature_American_Shepherd
terrier,Miniature_Bull_Terrier
companion_dog,Miniature_Pinscher
terrier,Miniature_Schnauzer
scenthound,Montenegrin_Mountain_Hound
scenthound,Mountain_Cur
terrier,Mountain_Feist
herding_dog,Mudi
companion_dog,Multi-Colored_Poodle
sighthound_&_pariah,Multi-Colored_Standard_Poodle
guardian_dog,Neapolitan_Mastiff
guardian_dog,Newfoundland
terrier,Norfolk_Terrier
northern_breed,Norrbottenspetz
northern_breed,Norwegian_Buhund
northern_breed,Norwegian_Elkhound
terrier,Norwich_Terrier
sighthound_&_pariah,Nova_Scotia_Duck_Tolling_Retriever
sighthound_&_pariah,Old_Danish_Pointing_Dog
herding_dog,Old_English_Sheepdog
guardian_dog,Olde_English_Bulldogge
scenthound,Otterhound
guardian_dog,Owczarek_Podhalanski
companion_dog,Papillon
terrier,Parson_Russell_Terrier
terrier,Patterdale_Terrier
companion_dog,Pekingese
herding_dog,Pembroke_Welsh_Corgi
sighthound_&_pariah,Perdiguero_de_Burgos
guardian_dog,Perro_De_Presa_Canario
sighthound_&_pariah,Peruvian_Inca_Orchid
scenthound,Petit_Basset_Griffon_Vendeen
scenthound,Petit_Bleu_De_Gascogne
scenthound,Petit_Gascon-Saintongeois
sighthound_&_pariah,Pharaoh_Hound
scenthound,Plott_Hound
sighthound_&_pariah,Podenco_Canario
sighthound_&_pariah,Podengo_Portugueso
scenthound,Poitevin
scenthound,Polish_Hound
herding_dog,Polski_Owczarek_Nizinny_(Polish_Owczarek_Nizinny)
companion_dog,Pomeranian
companion_dog,Poodle
scenthound,Porcelaine
sighthound_&_pariah,Portuguese_Pointer
herding_dog,Portuguese_Sheepdog
sighthound_&_pariah,Portuguese_Water_Dog
scenthound,Posavaz_Hound
sighthound_&_pariah,Pudelpointer
companion_dog,Pug
herding_dog,Puli
herding_dog,Pumi
guardian_dog,Pyrenean_Mastiff
terrier,Rat_Terrier
scenthound,Redbone_Coonhound
sighthound_&_pariah,Rhodesian_Ridgeback
guardian_dog,Rottweiler
northern_breed,Russian-European_Laika
companion_dog,Russkiy_Toy
herding_dog,Saarloosewolfdog
guardian_dog,Saint_Bernard
